ID,Name,MRP-Flag,Pastor,City,State,Zip,mrp_new,mrp_old,mrp_diff,mrp_perc_diff,cbf_new,cbf_old,cbf_diff,cbf_perc_diff,,
19485,Angier Baptist Church,0,Grover K. Blackburn,Angier,NC,27501-0130,0,0,0,,6479.58,5390,1089.58,0.20,,
18178,Antioch Mamers,1,Patrick Broaddus,Mamers,NC,27552-0525,6201.5,6084.99,116.51,0.02,3720.91,3650.99,69.92,0.02,,
18176,Antioch Taylorsville,1,Mark Morris,Taylorsville,NC,28681-7937,10263.67,9683.54,580.129999999999,0.06,6158.19,5810.14,348.05,0.06,,
18,Ardmore Baptist Church,1,Don Y. Gordon,Winston Salem,NC,27103-3610,73183.69,64120.21,9063.48,0.14,40910.21,38472.14,2438.07,0.06,,
25795,Athens Drive Baptist Church,0,Tim A. Howell,Raleigh,NC,27606-2551,0,0,0,,3922.39,3540.98,381.41,0.11,,
148908,Baptist Fellowship of Angier Buies Creek,0,,Buies Creek,NC,27506-1459,0,0,0,,880,880,0,0.00,,
96810,Baptist Tabernacle Church,1,Glen Brock,Wendell,NC,27591-7540,2750,2150,600,0.28,1650,1290,360,0.28,,
23869,Bear Swamp Baptist Church,0,Howard Gidrey,Littleton,NC,,0,0,0,,0,232,-232,-1.00,,
38464,Benson Baptist Church,1,Paul Burgess,Benson,NC,27504-0323,15026.13,11508.67,3517.46,0.31,9015.69,6905.22,2110.47,0.31,,
72432,Bethel Baptist Church,0,Burlen Aldridge,Robbinsville,NC,28771-9032,0,0,0,,0,500,-500,-1.00,,
184860,Bethlehem Baptist Church,1,Steve Davis,Youngsville,NC,27596-9323,3067.04,3386.53,-319.49,-0.09,1840.22,2031.91,-191.69,-0.09,,
18381,Blackwell Memorial Baptist Church,2,Donald B. Morris,Elizabeth City,NC,27909-3946,0,0,0,,1100,0,1100,,,
1366,Boiling Springs Baptist Church,1,Keith G. McKinney,Boiling Springs,NC,28017-0917,25002.98,21486.11,3516.87,0.16,15001.8,12891.66,2110.14,0.16,,
35184,Boonville Baptist Church,1,John T. Brown,Boonville,NC,27011-0429,2000,500,1500,3.00,1200,300,900,3.00,,
78863,Brunswick Islands Baptist Church,1,Rudra Ramphal,Supply,NC,28462-5404,2246.46,4375.14,-2128.68,-0.49,1347.88,2625.1,-1277.22,-0.49,,
2122,Buies Creek First Baptist,1,,Buies Creek,NC,27506-0160,2879.04,3052.7,-173.66,-0.06,2879.1,3052.75,-173.65,-0.06,,
18479,Bullock Baptist Church,0,,Bullock,NC,27507-0086,0,0,0,,815.01,861.6,-46.59,-0.05,,
73244,Burningtown Baptist Church,1,Randy Drinnon,Franklin,NC,28744-2193,2413.57,5506.12,-3092.55,-0.56,1609.05,3187.41,-1578.36,-0.50,,
1460,Calvary Asheville,1,Jeffrey C. Hayes,Asheville,NC,28806-3538,3083.25,4050.15,-966.9,-0.24,2398.09,3150.11,-752.02,-0.24,,
16548,Calvary Durham,0,,Durham,NC,27703-5116,0,0,0,,2475.99,2548.62,-72.63,-0.03,,
28084,Calvary Mars Hill,0,M. Glenn Graves,Mars Hill,NC,28754-6204,0,0,0,,0,500,-500,-1.00,,
205,Calvary Mount Airy,1,Alex L. Martin,Mount Airy,NC,27030-4218,3833.38,4329.86,-496.48,-0.11,2416.6,2290.72,125.88,0.05,,
42150,Calvary Reidsville,0,Greg Robertson,Reidsville,NC,27320-8856,0,0,0,,5662.8,5471.43,191.37,0.03,,
89173,Calypso Baptist Church,0,,Calypso,NC,28325-0248,0,0,0,,500,500,0,0.00,,
175329,Centerpoint Community Fellowship,0,Bernie L. Calaway,Franklin,NC,28734-5810,0,0,0,,250,500,-250,-0.50,,
1184,Chadbourn Baptist Church,1,Danny W. Russell,Chadbourn,NC,28431-1830,3387.92,3706.96,-319.04,-0.09,2187.08,2393.04,-205.96,-0.09,,
16950,Churchland Baptist Church,1,,Lexington,NC,27295-5254,750,375,375,1.00,950,475,475,1.00,,
1686,College Park Greensboro,0,Michael S. Usey,Greensboro,NC,27403-2318,0,0,0,,0,218,-218,-1.00,,
18811,College Park Winston Salem,0,Ramon Smith,Winston Salem,NC,27106-4540,789.17,795.77,-6.60000000000002,-0.01,22444.33,23516.11,-1071.78,-0.05,,
18855,Connaritsa Baptist Church,1,Jimmy Smith,Aulander,NC,27805-0160,618.75,825,-206.25,-0.25,812.5,450,362.5,0.81,,
76349,Cornerstone Baptist Church,0,Edgar L. Graves,Valdese,NC,28690-1026,0,0,0,,600,250,350,1.40,,
17677,Covenant Baptist Church,0,,Gastonia,NC,28054-2145,0,0,0,,2250,3250,-1000,-0.31,,
18898,Crabtree Valley Baptist Church,0,J. Charles Allard,Raleigh,NC,27622-0954,0,0,0,,1000,1000,0,0.00,,
1387,Cullowhee Baptist Church,0,Jeffrey D. Vickery,Cullowhee,NC,28723-0037,0,0,0,,450,416.65,33.35,0.08,,
19000,Dortches Baptist Church,1,Phillip E. Barton,Rocky Mount,NC,27804-7999,2803.47,7897.55,-5094.08,-0.65,1754.09,4595.56,-2841.47,-0.62,,
61701,Double Shoals Baptist Church,0,Brian Johnson,Shelby,NC,28150-3225,253,188,65,0.35,219,227,-8,-0.04,,
19025,Durham Memorial Baptist Church,0,Ed Denton,Durham,NC,27703-9747,30,0,30,,2434.41,2011.72,422.69,0.21,,
2455,Early's Baptist Church,1,,Ahoskie,NC,27910-9380,750,2250,-1500,-0.67,450,1350,-900,-0.67,,
41455,Eatons Baptist Church,0,David Gilbreath,Mocksville,NC,27028-4735,400,347.5,52.5,0.15,340,373.5,-33.5,-0.09,,
19098,Edenton Baptist Church,1,David B. Brooks,Edenton,NC,27932-1848,15371.75,15065,306.75,0.02,5950.5,5469.33,481.17,0.09,,
96448,Emerald Isle Baptist Church,0,Freddie Braswell,Emerald Isle,NC,28594-1910,0,0,0,,2880,2670,210,0.08,,
1854,Emerywood Baptist Church,0,Robert U. Ferguson,High Point,NC,27262-4554,0,0,0,,1500,1500,0,0.00,,
17562,Enfield Baptist Church,1,Kerry Peeler,Enfield,NC,27823-1610,957.06,1177.77,-220.71,-0.19,574.26,706.68,-132.42,-0.19,,
19171,Enon Baptist Church,0,Mark Elmore,Oxford,NC,27565-7901,0,0,0,,5125.04,5000.04,125,0.02,,
84665,Ephesus Baptist Church,0,,Spring Hope,NC,27882-8241,0,0,0,,0,990,-990,-1.00,,
182402,Evergreen Baptist Church,0,,Rose Hill,NC,28458-8611,0,0,0,,250,250,0,0.00,,
23198,Fair Bluff Baptist Church,0,Todd Padgett,Fair Bluff,NC,28439-0217,0,0,0,,1575,3275,-1700,-0.52,,
87061,Falls Baptist Church,0,Terry B. Ashe,Wake Forest,NC,27587-9228,0,0,0,,250,300,-50,-0.17,,
1852,Fellowship Baptist Church,0,,Winston Salem,NC,27107-6913,0,0,0,,300,300,0,0.00,,
195642,FBC Carolina Beach,1,,Carolina Beach,NC,28428,1209.43,12560.83,-11351.4,-0.90,725.66,0,725.66,,,
19926,FBC Ahoskie,1,,Ahoskie,NC,27910-0649,15471.15,15951.24,-480.09,-0.03,6735,7794.98,-1059.98,-0.14,,
17352,FBC Albemarle,0,Andy Jung,Albemarle,NC,28001-3930,0,0,0,,20223.25,26261.5,-6038.25,-0.23,,
2066,FBC Arden,1,Timothy Brown,Arden,NC,28704-3135,180.79,287.6,-106.81,-0.37,108.53,172.6,-64.07,-0.37,,
19543,FBC Asheboro,1,Scotty Carpenter,Asheboro,NC,27204-0936,1607.93,1673.33,-65.3999999999999,-0.04,3473.54,3562.13,-88.59,-0.02,,
68,FBC Asheville,0,Austin M. Dennis,Asheville,NC,28801-3003,0,0,0,,8875,7333,1542,0.21,,
19542,FBC Biscoe,1,Josh D. Powers,Biscoe,NC,27209-0036,1662.48,1662.48,0,0.00,997.52,997.52,0,0.00,,
14592,FBC Black Mountain,0,Jeremy T. Shoulta,Black Mountain,NC,28711-0656,250,0,250,,2749.68,2877.12,-127.44,-0.04,,
826,FBC Bladenboro,0,,Bladenboro,NC,28320-0176,0,0,0,,20378.14,21479.73,-1101.59,-0.05,,
23287,FBC Blowing Rock,0,Rusty Guenther,Blowing Rock,NC,28605-0003,0,0,0,,1833.37,2100.04,-266.67,-0.13,,
163,FBC Boone,0,Roy R. Dobyns,Boone,NC,28607-3520,4177.35,3804.15,373.2,0.10,4213.31,3689.44,523.87,0.14,,
1191,FBC Bryson City,0,John Tagliarini,Bryson City,NC,28713-0247,0,0,0,,4750.15,4353.84,396.31,0.09,,
17154,FBC Burnsville,1,Tommy L. James,Burnsville,NC,28714-2932,1777.5,1711.2,66.3,0.04,3450.5,3321.8,128.7,0.04,,
19483,FBC Butner,1,Charles N. Bryan,Butner,NC,27509-0044,4900.83,6676.77,-1775.94,-0.27,2940.49,3652.1,-711.61,-0.19,,
17861,FBC Canton,1,,Canton,NC,28716-4444,645.65,6104.71,-5459.06,-0.89,387.38,3662.83,-3275.45,-0.89,,
898,FBC Carolina Beach,1,Hal Hiatt,Carolina Beach,NC,28428-4805,11654.27,12560.83,-906.559999999999,-0.07,6992.57,7536.5,-543.93,-0.07,,
88766,FBC Clarkton,0,Mark T. Miller,Clarkton,NC,28433-0567,0,0,0,,0,50,-50,-1.00,,
19520,FBC Clayton,1,Mark T. White,Clayton,NC,27528-0035,9070.95,9070.95,0,0.00,5442.61,5442.61,0,0.00,,
63621,FBC Clinton,1,Ray Ammons,Clinton,NC,28328-4010,3496.72,2810.24,686.48,0.24,1498.05,1686.18,-188.13,-0.11,,
120209,FBC Cramerton,0,David B. Julen,Cramerton,NC,28032-1239,0,0,0,,1689.75,1888.75,-199,-0.11,,
16074,FBC Danville,0,John M. Carroll,Danville,VA,24541-1807,2000,0,2000,,0,0,0,,,
18994,FBC Dobson,0,Cory Honeycutt,Dobson,NC,27017-0278,0,0,0,,1000,1000,0,0.00,,
29826,FBC Drexel,1,Michael L. Duncan,Drexel,NC,28619-0308,7987.79,7703.04,284.75,0.04,4792.68,4621.81,170.87,0.04,,
19508,FBC Dunn,1,Leonard Keever,Dunn,NC,28334-4805,4136.25,6765.92,-2629.67,-0.39,2464.36,3346.04,-881.68,-0.26,,
18092,FBC Eden,1,Craig Bowman,Eden,NC,27288-6112,2090.18,1942.17,148.01,0.08,1254.1,1165.32,88.78,0.08,,
15896,FBC Elizabeth City,0,Paul Batson,Elizabeth City,NC,27909-4200,0,0,0,,620,2000,-1380,-0.69,,
78,FBC Elkin,1,,Elkin,NC,28621-3423,6250,9112.53,-2862.53,-0.31,3200,4556.22,-1356.22,-0.30,,
19541,FBC Elon,1,Mason F. Smith,Elon,NC,27244-0778,2124.93,2166.61,-41.6800000000003,-0.02,1275,1300.01,-25.01,-0.02,,
2127,FBC Fairmont,1,Sean Gallagher,Fairmont,NC,28340-0663,6560,6663,-103,-0.02,8520,8520,0,0.00,,
2231,FBC Farmville,1,Rick R. Bailey,Farmville,NC,27828-0034,14163.97,14566.56,-402.59,-0.03,8498.4,8739.96,-241.56,-0.03,,
2232,FBC Fayetteville,1,Robert James,Fayetteville,NC,28301-5015,11100,10800,300,0.03,2700,2700,0,0.00,,
16559,FBC Forest City,0,Garin H. Hill,Forest City,NC,28043-3024,3686.05,3005.24,680.81,0.23,9066.62,8475.86,590.76,0.07,,
20431,FBC Four Oaks,1,John I. Norman,Four Oaks,NC,27524-0717,3730.62,8660.36,-4929.74,-0.57,1402.88,1697.64,-294.76,-0.17,,
1842,FBC Gastonia,1,Steven Fuller,Gastonia,NC,28056-6023,16118.75,17422.4,-1303.65,-0.07,8307.6,8307.6,0,0.00,,
234,FBC Goldsboro,0,Glenn F. Phillips,Goldsboro,NC,27533-1538,876.93,3933.01,-3056.08,-0.78,6831.82,29578.07,-22746.25,-0.77,,
19540,FBC Graham,1,Travis Russell,Graham,NC,27253-0779,1920,531.66,1388.34,2.61,3456,1668.59,1787.41,1.07,,
146,FBC Greensboro,0,Alan Sherouse,Greensboro,NC,27401-1808,0,15000,-15000,-1.00,21409,14920.25,6488.75,0.43,,
19522,FBC Henderson,1,Ronald S. Cava,Henderson,NC,27536-0075,8146.11,10732.98,-2586.87,-0.24,4887.69,6439.81,-1552.12,-0.24,,
1432,FBC Hickory,1,Phillip Reynolds,Hickory,NC,28601-4943,31224.02,36039.91,-4815.89,-0.13,18824.45,21623.95,-2799.5,-0.13,,
2126,FBC High Point,0,Joel Campbell,High Point,NC,27260-5013,0,0,0,,300,0,300,,,
19539,FBC Hillsborough,1,Randy Carter,Hillsborough,NC,27278-2417,6185.42,7725.27,-1539.85,-0.20,3711.28,4002.17,-290.89,-0.07,,
19223,FBC Huntersville,0,Stacy Nowell,Huntersville,NC,28078-9317,0,0,0,,7195,1875,5320,2.84,,
19565,FBC Jonesville,0,Roger Hensley,Jonesville,NC,28642-0098,0,0,0,,1545.64,1626.31,-80.67,-0.05,,
1948,FBC Kannapolis,1,Thomas E. Cabaniss,Kannapolis,NC,28081-3427,23377.49,22687.5,689.990000000002,0.03,14453.76,14066.25,387.51,0.03,,
983,FBC Kernersville,0,Stephen D. Martin,Kernersville,NC,27284-2749,0,0,0,,15265.23,15533.96,-268.73,-0.02,,
717,FBC Laurinburg,1,Wayne D. Wike,Laurinburg,NC,28352-3856,4362.7,0,4362.7,,2587.62,2635.8,-48.18,-0.02,,
913,FBC Lenoir,1,Josh D. Hughes,Lenoir,NC,28645-5199,8312,9666.5,-1354.5,-0.14,4987.2,5799.9,-812.7,-0.14,,
17152,FBC Lexington,1,Ray N. Howell,Lexington,NC,27293-0436,13682.19,15435,-1752.81,-0.11,9579.33,9425,154.33,0.02,,
148311,FBC Liberty,0,,Liberty,NC,27298-0815,0,0,0,,937.5,0,937.5,,,
214,FBC Lincolnton,1,Stanley W. Spence,Lincolnton,NC,28092-3223,4100.85,3716.7,384.150000000001,0.10,4963.49,4160,803.49,0.19,,
36,FBC Lumberton,1,David Elks,Lumberton,NC,28358,17250,17874,-624,-0.03,21730.64,25499.92,-3769.28,-0.15,,
100038,FBC Madison,1,Charles P. McGathy,Madison,NC,27025-0209,1472.5,1437.5,35,0.02,883.5,862.5,21,0.02,,
16939,FBC Marion,1,M. Scott Hagaman,Marion,NC,28752-3935,4279.99,4154.36,125.63,0.03,3000.01,3532.51,-532.5,-0.15,,
21165,FBC Marshville,0,,Marshville,NC,28103-0667,0,0,0,,2000,2000,0,0.00,,
19204,FBC Mayodan,0,Randy Jessup,Mayodan,NC,27027-2709,0,0,0,,50,0,50,,,
19206,FBC Mebane,0,A. Bland Campbell,Mebane,NC,27302-2617,0,0,0,,833.3,1912.5,-1079.2,-0.56,,
27045,FBC Mocksville,0,Shane Nixon,Mocksville,NC,27028-2118,0,0,0,,2040.86,1747.45,293.41,0.17,,
880,FBC Monroe,0,Christopher S. Dawson,Monroe,NC,28112-5518,3777,1010,2767,2.74,5441.67,5100,341.67,0.07,,
80962,FBC Morehead City,1,Nathaniel P. Leonard,Morehead City,NC,28557-3836,14988,15715.5,-727.5,-0.05,9792.8,9529.3,263.5,0.03,,
73,FBC Morganton,0,Thomas A. Bland,Morganton,NC,28680-0459,0,362.5,-362.5,-1.00,1354.17,1500,-145.83,-0.10,,
16560,FBC Mount Airy,1,James A. Meadows,Mount Airy,NC,27030-3743,10787.04,10787.04,0,0.00,6472.2,6472.2,0,0.00,,
17724,FBC Mount Gilead,1,Roger W. Thomas,Mount Gilead,NC,27306-0207,1687.5,1125,562.5,0.50,1125,850,275,0.32,,
15897,FBC Mount Holly,1,L. Kendell Cameron,Mount Holly,NC,28120-0385,4901.22,4899.19,2.03000000000065,0.00,2940.74,2939.52,1.22,0.00,,
19574,FBC Mount Olive,1,Dennis R. Atwood,Mount Olive,NC,28365-0239,9444.98,14154.6,-4709.62,-0.33,6858.55,9911.32,-3052.77,-0.31,,
27,FBC New Bern,1,Richard D. Seagle,New Bern,NC,28560-2141,7680,5800,1880,0.32,1920,1700,220,0.13,,
19561,FBC North Wilkesboro,0,Bruce A. Young,North Wilkesboro,NC,28659-0458,0,0,0,,6500,6000,500,0.08,,
394,FBC Raleigh,1,Christopher F. Chapman,Raleigh,NC,27603-1737,14356.97,9717.85,4639.12,0.48,10491.67,15096.81,-4605.14,-0.31,,
19573,FBC Red Springs,0,Bradley T. Boberg,Red Springs,NC,28377-0166,0,0,0,,400,350,50,0.14,,
19537,FBC Reidsville,1,William H. Duke,Reidsville,NC,27320-3817,1729.57,1794.99,-65.4200000000001,-0.04,1037.74,1077,-39.26,-0.04,,
79717,FBC Richlands,0,Gary J. McAbee,Richlands,NC,28574-6339,0,0,0,,3600,3933.3,-333.3,-0.08,,
26027,FBC Rowland,0,Thomas H. Allen,Rowland,NC,28383-0397,0,0,0,,2000,2000,0,0.00,,
1217,FBC Rutherfordton,0,Timothy A. Marsh,Rutherfordton,NC,28139-2504,0,0,0,,6500,6500,0,0.00,,
19491,FBC Sanford,0,P. Jeff Clark,Sanford,NC,27330-3924,7883.26,8600,-716.74,-0.08,2000,2000,0,0.00,,
19532,FBC Shelby,1,Tony Tench,Shelby,NC,28150-4456,30617.46,39310.67,-8693.21,-0.22,18370.49,23586.42,-5215.93,-0.22,,
19527,FBC Smithfield,1,Lee Colbert,Smithfield,NC,27577-4554,33365.08,35437.8,-2072.72,-0.06,14438.81,15302.56,-863.75,-0.06,,
19571,FBC Southern Pines,1,David M. Helms,Southern Pines,NC,28387-6114,18061.66,19084,-1022.34,-0.05,4135,3408,727,0.21,,
19481,FBC Spring Hope,0,Kevin Moore,Spring Hope,NC,27882-0177,0,0,0,,1266.67,1266.66,0.01,0.00,,
83833,FBC Stanfield,1,Bruce S. League,Stanfield,NC,28163-0279,3578,3798,-220,-0.06,2086.8,2218.8,-132,-0.06,,
19500,FBC Stantonsburg,0,Gilbert G. Gulick,Stantonsburg,NC,27883-0057,409.15,307.24,101.91,0.33,1000,1000,0,0.00,,
1894,FBC Statesville,0,N. Nelson Granade,Statesville,NC,28677-5310,270.84,3842,-3571.16,-0.93,162.5,8615,-8452.5,-0.98,,
16585,FBC Stoneville,1,Richard Stevens,Stoneville,NC,27048-0274,977.49,1156.42,-178.93,-0.15,586.51,693.86,-107.35,-0.15,,
1928,FBC Sylva,1,Jeffrey P. Mathis,Sylva,NC,28779-5552,6952,12235,-5283,-0.43,1647,0,1647,,,
19518,FBC Tarboro,1,,Tarboro,NC,27886-1556,3153.28,3717,-563.72,-0.15,1891.97,2230.23,-338.26,-0.15,,
87658,FBC Tryon,1,Jeffrey C. Harris,Tryon,NC,28782-1287,12834.32,9928.77,2905.55,0.29,7700.58,5957.26,1743.32,0.29,,
19246,FBC Valdese,0,Barry K. Keys,Valdese,NC,28690-2324,0,0,0,,2600,5000,-2400,-0.48,,
19569,FBC Wallace,1,Alan Thompson,Wallace,NC,28466-2910,11299.92,11299.97,-0.0499999999992724,-0.00,6780,6779.98,0.02,0.00,,
19510,FBC Washington,0,James A. Moore,Washington,NC,27889-5025,0,0,0,,1963.6,2080.5,-116.9,-0.06,,
1453,FBC Waynesville,1,Robert Prince,Waynesville,NC,28786-0690,3196.29,2519.03,677.26,0.27,1278.52,1007.63,270.89,0.27,,
19202,FBC Weaverville,1,Jim McCoy,Weaverville,NC,28787-0547,11271.3,11196.83,74.4699999999993,0.01,3812.14,3791.8,20.34,0.01,,
74302,FBC West Jefferson,1,Michael S. Lea,West Jefferson,NC,28694-0180,8450.13,7800.12,650.009999999999,0.08,3520.79,3374.96,145.83,0.04,,
2444,FBC Whiteville,1,Ryan K. Clore,Whiteville,NC,28472-3215,12858.08,13880.12,-1022.04,-0.07,7504.86,8328.07,-823.21,-0.10,,
274,FBC Wilmington,0,Matthew W. Cook,Wilmington,NC,28401-4546,0,0,0,,16225,25076,-8851,-0.35,,
451,FBC Wilson,1,Douglas E. Murray,Wilson,NC,27894-1467,15709.43,9417,6292.43,0.67,7071.55,4239,2832.55,0.67,,
2242,FBC Winston Salem,1,Emily K. Hull McGee,Winston Salem,NC,27101-2727,20354.82,22738.4,-2383.58,-0.10,12270.63,12968.72,-698.09,-0.05,,
72442,First Baptist Church of Smithton,1,,Belhaven,NC,27810-0522,1000,1000,0,0.00,680,680,0,0.00,,
190046,First Chin Baptist Church,0,Vanbawi Van,New Bern,NC,28560-2141,0,0,0,,1000,300,700,2.33,,
72994,Fishing Creek Baptist Church,0,Keith Griffin,Whitakers,NC,27891-9217,969.28,702,267.28,0.38,2025,1890,135,0.07,,
86838,Flat Rock Baptist Church,0,Charles J. Tomlin,Hamptonville,NC,27020-0267,0,0,0,,1152,1152,0,0.00,,
125832,Flat Springs Baptist Church,1,Gary McCollough,Sanford,NC,27330-6567,6807.5,11346.25,-4538.75,-0.40,4084.5,6807.75,-2723.25,-0.40,,
20394,Florence Baptist Church,1,Bobby D. Gantt,Forest City,NC,28043-3698,4999.95,4999.95,0,0.00,3000.01,3000.01,0,0.00,,
271,Forest Hills Baptist Church,1,Neil P. Westbrook,Raleigh,NC,27607-7015,1835.72,9211.38,-7375.66,-0.80,1101.44,2742.13,-1640.69,-0.60,,
